PassengerId,Survived,Sex,Age,SibSp,Parch,Fare,Title,Pclass_1,Pclass_2,Embarked_C,Embarked_Q
1,0,0,22.0,1,0,7,1,0,0,0,0
2,1,1,38.0,1,0,71,3,1,0,1,0
3,1,1,26.0,0,0,7,2,0,0,0,0
4,1,1,35.0,1,0,53,3,1,0,0,0
5,0,0,35.0,0,0,8,1,0,0,0,0
6,0,0,28.724890829694324,0,0,8,1,0,0,0,1
7,0,0,54.0,0,0,51,1,1,0,0,0
8,0,0,2.0,3,1,21,4,0,0,0,0
9,1,1,27.0,0,2,11,3,0,0,0,0
10,1,1,14.0,1,0,30,3,0,1,1,0
11,1,1,4.0,1,1,16,2,0,0,0,0
12,1,1,58.0,0,0,26,2,1,0,0,0
13,0,0,20.0,0,0,8,1,0,0,0,0
14,0,0,39.0,1,5,31,1,0,0,0,0
15,0,1,14.0,0,0,7,2,0,0,0,0
16,1,1,55.0,0,0,16,3,0,1,0,0
17,0,0,2.0,4,1,29,4,0,0,0,1
18,1,0,32.76829268292683,0,0,13,1,0,1,0,0
19,0,1,31.0,1,0,18,3,0,0,0,0
20,1,1,33.515151515151516,0,0,7,3,0,0,1,0
21,0,0,35.0,0,0,26,1,0,1,0,0
22,1,0,34.0,0,0,13,1,0,1,0,0
23,1,1,15.0,0,0,8,2,0,0,0,1
24,1,0,28.0,0,0,35,1,1,0,0,0
25,0,1,8.0,3,1,21,2,0,0,0,0
26,1,1,38.0,1,5,31,3,0,0,0,0
27,0,0,28.724890829694324,0,0,7,1,0,0,1,0
28,0,0,19.0,3,2,263,1,1,0,0,0
29,1,1,16.1231884057971,0,0,7,2,0,0,0,1
30,0,0,28.724890829694324,0,0,7,1,0,0,0,0
31,0,0,40.0,0,0,27,5,1,0,1,0
32,1,1,40.4,1,0,146,3,1,0,1,0
33,1,1,16.1231884057971,0,0,7,2,0,0,0,1
34,0,0,66.0,0,0,10,1,0,1,0,0
35,0,0,28.0,1,0,82,1,1,0,1,0
36,0,0,42.0,1,0,52,1,1,0,0,0
37,1,0,28.724890829694324,0,0,7,1,0,0,1,0
38,0,0,21.0,0,0,8,1,0,0,0,0
39,0,1,18.0,2,0,18,2,0,0,0,0
40,1,1,14.0,1,0,11,2,0,0,1,0
41,0,1,40.0,1,0,9,3,0,0,0,0
42,0,1,27.0,1,0,21,3,0,1,0,0
43,0,0,28.724890829694324,0,0,7,1,0,0,1,0
44,1,1,3.0,1,2,41,2,0,1,1,0
45,1,1,19.0,0,0,7,2,0,0,0,1
46,0,0,28.724890829694324,0,0,8,1,0,0,0,0
47,0,0,28.724890829694324,1,0,15,1,0,0,0,1
48,1,1,16.1231884057971,0,0,7,2,0,0,0,1
49,0,0,28.724890829694324,2,0,21,1,0,0,1,0
50,0,1,18.0,1,0,17,3,0,0,0,0
51,0,0,7.0,4,1,39,4,0,0,0,0
52,0,0,21.0,0,0,7,1,0,0,0,0
53,1,1,49.0,1,0,76,3,1,0,1,0
54,1,1,29.0,1,0,26,3,0,1,0,0
55,0,0,65.0,0,1,61,1,1,0,1,0
56,1,0,41.58045977011494,0,0,35,1,1,0,0,0
57,1,1,21.0,0,0,10,2,0,1,0,0
58,0,0,28.5,0,0,7,1,0,0,1,0
59,1,1,5.0,1,2,27,2,0,1,0,0
60,0,0,11.0,5,2,46,4,0,0,0,0
61,0,0,22.0,0,0,7,1,0,0,1,0
62,1,1,38.0,0,0,80,2,1,0,0,0
63,0,0,45.0,1,0,83,1,1,0,0,0
64,0,0,4.0,3,2,27,4,0,0,0,0
65,0,0,41.58045977011494,0,0,27,1,1,0,1,0
66,1,0,5.350833333333333,1,1,15,4,0,0,1,0
67,1,1,29.0,0,0,10,3,0,1,0,0
68,0,0,19.0,0,0,8,1,0,0,0,0
69,1,1,17.0,4,2,7,2,0,0,0,0
70,0,0,26.0,2,0,8,1,0,0,0,0
71,0,0,32.0,0,0,10,1,0,1,0,0
72,0,1,16.0,5,2,46,2,0,0,0,0
73,0,0,21.0,0,0,73,1,0,1,0,0
74,0,0,26.0,1,0,14,1,0,0,1,0
75,1,0,32.0,0,0,56,1,0,0,0,0
76,0,0,25.0,0,0,7,1,0,0,0,0
77,0,0,28.724890829694324,0,0,7,1,0,0,0,0
78,0,0,28.724890829694324,0,0,8,1,0,0,0,0
79,1,0,0.83,0,2,29,4,0,1,0,0
80,1,1,30.0,0,0,12,2,0,0,0,0
81,0,0,22.0,0,0,9,1,0,0,0,0
82,1,0,29.0,0,0,9,1,0,0,0,0
83,1,1,16.1231884057971,0,0,7,2,0,0,0,1
84,0,0,28.0,0,0,47,1,1,0,0,0
85,1,1,17.0,0,0,10,2,0,1,0,0
86,1,1,33.0,3,0,15,3,0,0,0,0
87,0,0,16.0,1,3,34,1,0,0,0,0
88,0,0,28.724890829694324,0,0,8,1,0,0,0,0
89,1,1,23.0,3,2,263,2,1,0,0,0
90,0,0,24.0,0,0,8,1,0,0,0,0
91,0,0,29.0,0,0,8,1,0,0,0,0
92,0,0,20.0,0,0,7,1,0,0,0,0
93,0,0,46.0,1,0,61,1,1,0,0,0
94,0,0,26.0,1,2,20,1,0,0,0,0
95,0,0,59.0,0,0,7,1,0,0,0,0
96,0,0,28.724890829694324,0,0,8,1,0,0,0,0
97,0,0,71.0,0,0,34,1,1,0,1,0
98,1,0,23.0,0,1,63,1,1,0,1,0
99,1,1,34.0,0,1,23,3,0,1,0,0
100,0,0,34.0,1,0,26,1,0,1,0,0
101,0,1,28.0,0,0,7,2,0,0,0,0
102,0,0,28.724890829694324,0,0,7,1,0,0,0,0
103,0,0,21.0,0,1,77,1,1,0,0,0
104,0,0,33.0,0,0,8,1,0,0,0,0
105,0,0,37.0,2,0,7,1,0,0,0,0
106,0,0,28.0,0,0,7,1,0,0,0,0
107,1,1,21.0,0,0,7,2,0,0,0,0
108,1,0,28.724890829694324,0,0,7,1,0,0,0,0
109,0,0,38.0,0,0,7,1,0,0,0,0
110,1,1,16.1231884057971,1,0,24,2,0,0,0,1
111,0,0,47.0,0,0,52,1,1,0,0,0
112,0,1,14.5,1,0,14,2,0,0,1,0
113,0,0,22.0,0,0,8,1,0,0,0,0
114,0,1,20.0,1,0,9,2,0,0,0,0
115,0,1,17.0,0,0,14,2,0,0,1,0
116,0,0,21.0,0,0,7,1,0,0,0,0
117,0,0,70.5,0,0,7,1,0,0,0,1
118,0,0,29.0,1,0,21,1,0,1,0,0
119,0,0,24.0,0,1,247,1,1,0,1,0
120,0,1,2.0,4,2,31,2,0,0,0,0
121,0,0,21.0,2,0,73,1,0,1,0,0
122,0,0,28.724890829694324,0,0,8,1,0,0,0,0
123,0,0,32.5,1,0,30,1,0,1,1,0
124,1,1,32.5,0,0,13,2,0,1,0,0
125,0,0,54.0,0,1,77,1,1,0,0,0
126,1,0,12.0,1,0,11,4,0,0,1,0
127,0,0,28.724890829694324,0,0,7,1,0,0,0,1
128,1,0,24.0,0,0,7,1,0,0,0,0
129,1,1,16.1231884057971,1,1,22,2,0,0,1,0
130,0,0,45.0,0,0,6,1,0,0,0,0
131,0,0,33.0,0,0,7,1,0,0,1,0
132,0,0,20.0,0,0,7,1,0,0,0,0
133,0,1,47.0,1,0,14,3,0,0,0,0
134,1,1,29.0,1,0,26,3,0,1,0,0
135,0,0,25.0,0,0,13,1,0,1,0,0
136,0,0,23.0,0,0,15,1,0,1,1,0
137,1,1,19.0,0,2,26,2,1,0,0,0
138,0,0,37.0,1,0,53,1,1,0,0,0
139,0,0,16.0,0,0,9,1,0,0,0,0
140,0,0,24.0,0,0,79,1,1,0,1,0
141,0,1,33.515151515151516,0,2,15,3,0,0,1,0
142,1,1,22.0,0,0,7,2,0,0,0,0
143,1,1,24.0,1,0,15,3,0,0,0,0
144,0,0,19.0,0,0,6,1,0,0,0,1
145,0,0,18.0,0,0,11,1,0,1,0,0
146,0,0,19.0,1,1,36,1,0,1,0,0
147,1,0,27.0,0,0,7,1,0,0,0,0
148,0,1,9.0,2,2,34,2,0,0,0,0
149,0,0,36.5,0,2,26,1,0,1,0,0
150,0,0,42.0,0,0,13,5,0,1,0,0
151,0,0,51.0,0,0,12,5,0,1,0,0
152,1,1,22.0,1,0,66,3,1,0,0,0
153,0,0,55.5,0,0,8,1,0,0,0,0
154,0,0,40.5,0,2,14,1,0,0,0,0
155,0,0,28.724890829694324,0,0,7,1,0,0,0,0
156,0,0,51.0,0,1,61,1,1,0,1,0
157,1,1,16.0,0,0,7,2,0,0,0,1
158,0,0,30.0,0,0,8,1,0,0,0,0
159,0,0,28.724890829694324,0,0,8,1,0,0,0,0
160,0,0,5.350833333333333,8,2,69,4,0,0,0,0
161,0,0,44.0,0,1,16,1,0,0,0,0
162,1,1,40.0,0,0,15,3,0,1,0,0
163,0,0,26.0,0,0,7,1,0,0,0,0
164,0,0,17.0,0,0,8,1,0,0,0,0
165,0,0,1.0,4,1,39,4,0,0,0,0
166,1,0,9.0,0,2,20,4,0,0,0,0
167,1,1,40.4,0,1,55,3,1,0,0,0
168,0,1,45.0,1,4,27,3,0,0,0,0
169,0,0,41.58045977011494,0,0,25,1,1,0,0,0
170,0,0,28.0,0,0,56,1,0,0,0,0
171,0,0,61.0,0,0,33,1,1,0,0,0
172,0,0,4.0,4,1,29,4,0,0,0,1
173,1,1,1.0,1,1,11,2,0,0,0,0
174,0,0,21.0,0,0,7,1,0,0,0,0
175,0,0,56.0,0,0,30,1,1,0,1,0
176,0,0,18.0,1,1,7,1,0,0,0,0
177,0,0,5.350833333333333,3,1,25,4,0,0,0,0
178,0,1,50.0,0,0,28,2,1,0,1,0
179,0,0,30.0,0,0,13,1,0,1,0,0
180,0,0,36.0,0,0,0,1,0,0,0,0
181,0,1,16.1231884057971,8,2,69,2,0,0,0,0
182,0,0,32.76829268292683,0,0,15,1,0,1,1,0
183,0,0,9.0,4,2,31,4,0,0,0,0
184,1,0,1.0,2,1,39,4,0,1,0,0
185,1,1,4.0,0,2,22,2,0,0,0,0
186,0,0,41.58045977011494,0,0,50,1,1,0,0,0
187,1,1,33.515151515151516,1,0,15,3,0,0,0,1
188,1,0,45.0,0,0,26,1,1,0,0,0
189,0,0,40.0,1,1,15,1,0,0,0,1
190,0,0,36.0,0,0,7,1,0,0,0,0
191,1,1,32.0,0,0,13,3,0,1,0,0
192,0,0,19.0,0,0,13,1,0,1,0,0
193,1,1,19.0,1,0,7,2,0,0,0,0
194,1,0,3.0,1,1,26,4,0,1,0,0
195,1,1,44.0,0,0,27,3,1,0,1,0
196,1,1,58.0,0,0,146,2,1,0,1,0
197,0,0,28.724890829694324,0,0,7,1,0,0,0,1
198,0,0,42.0,0,1,8,1,0,0,0,0
199,1,1,16.1231884057971,0,0,7,2,0,0,0,1
200,0,1,24.0,0,0,13,2,0,1,0,0
201,0,0,28.0,0,0,9,1,0,0,0,0
202,0,0,28.724890829694324,8,2,69,1,0,0,0,0
203,0,0,34.0,0,0,6,1,0,0,0,0
204,0,0,45.5,0,0,7,1,0,0,1,0
205,1,0,18.0,0,0,8,1,0,0,0,0
206,0,1,2.0,0,1,10,2,0,0,0,0
207,0,0,32.0,1,0,15,1,0,0,0,0
208,1,0,26.0,0,0,18,1,0,0,1,0
209,1,1,16.0,0,0,7,2,0,0,0,1
210,1,0,40.0,0,0,31,1,1,0,1,0
211,0,0,24.0,0,0,7,1,0,0,0,0
212,1,1,35.0,0,0,21,2,0,1,0,0
213,0,0,22.0,0,0,7,1,0,0,0,0
214,0,0,30.0,0,0,13,1,0,1,0,0
215,0,0,28.724890829694324,1,0,7,1,0,0,0,1
216,1,1,31.0,1,0,113,2,1,0,1,0
217,1,1,27.0,0,0,7,2,0,0,0,0
218,0,0,42.0,1,0,27,1,0,1,0,0
219,1,1,32.0,0,0,76,2,1,0,1,0
220,0,0,30.0,0,0,10,1,0,1,0,0
221,1,0,16.0,0,0,8,1,0,0,0,0
222,0,0,27.0,0,0,13,1,0,1,0,0
223,0,0,51.0,0,0,8,1,0,0,0,0
224,0,0,28.724890829694324,0,0,7,1,0,0,0,0
225,1,0,38.0,1,0,90,1,1,0,0,0
226,0,0,22.0,0,0,9,1,0,0,0,0
227,1,0,19.0,0,0,10,1,0,1,0,0
228,0,0,20.5,0,0,7,1,0,0,0,0
229,0,0,18.0,0,0,13,1,0,1,0,0
230,0,1,16.1231884057971,3,1,25,2,0,0,0,0
231,1,1,35.0,1,0,83,3,1,0,0,0
232,0,0,29.0,0,0,7,1,0,0,0,0
233,0,0,59.0,0,0,13,1,0,1,0,0
234,1,1,5.0,4,2,31,2,0,0,0,0
235,0,0,24.0,0,0,10,1,0,1,0,0
236,0,1,16.1231884057971,0,0,7,2,0,0,0,0
237,0,0,44.0,1,0,26,1,0,1,0,0
238,1,1,8.0,0,2,26,2,0,1,0,0
239,0,0,19.0,0,0,10,1,0,1,0,0
240,0,0,33.0,0,0,12,1,0,1,0,0
241,0,1,16.1231884057971,1,0,14,2,0,0,1,0
242,1,1,16.1231884057971,1,0,15,2,0,0,0,1
243,0,0,29.0,0,0,10,1,0,1,0,0
244,0,0,22.0,0,0,7,1,0,0,0,0
245,0,0,30.0,0,0,7,1,0,0,1,0
246,0,0,44.0,2,0,90,5,1,0,0,1
247,0,1,25.0,0,0,7,2,0,0,0,0
248,1,1,24.0,0,2,14,3,0,1,0,0
249,1,0,37.0,1,1,52,1,1,0,0,0
250,0,0,54.0,1,0,26,5,0,1,0,0
251,0,0,28.724890829694324,0,0,7,1,0,0,0,0
252,0,1,29.0,1,1,10,3,0,0,0,0
253,0,0,62.0,0,0,26,1,1,0,0,0
254,0,0,30.0,1,0,16,1,0,0,0,0
255,0,1,41.0,0,2,20,3,0,0,0,0
256,1,1,29.0,0,2,15,3,0,0,1,0
257,1,1,40.4,0,0,79,3,1,0,1,0
258,1,1,30.0,0,0,86,2,1,0,0,0
259,1,1,35.0,0,0,512,2,1,0,1,0
260,1,1,50.0,0,1,26,3,0,1,0,0
261,0,0,28.724890829694324,0,0,7,1,0,0,0,1
262,1,0,3.0,4,2,31,4,0,0,0,0
263,0,0,52.0,1,1,79,1,1,0,0,0
264,0,0,40.0,0,0,0,1,1,0,0,0
265,0,1,16.1231884057971,0,0,7,2,0,0,0,1
266,0,0,36.0,0,0,10,1,0,1,0,0
267,0,0,16.0,4,1,39,1,0,0,0,0
268,1,0,25.0,1,0,7,1,0,0,0,0
269,1,1,58.0,0,1,153,3,1,0,0,0
270,1,1,35.0,0,0,135,2,1,0,0,0
271,0,0,41.58045977011494,0,0,31,1,1,0,0,0
272,1,0,25.0,0,0,0,1,0,0,0,0
273,1,1,41.0,0,1,19,3,0,1,0,0
274,0,0,37.0,0,1,29,1,1,0,1,0
275,1,1,16.1231884057971,0,0,7,2,0,0,0,1
276,1,1,63.0,1,0,77,2,1,0,0,0
277,0,1,45.0,0,0,7,2,0,0,0,0
278,0,0,32.76829268292683,0,0,0,1,0,1,0,0
279,0,0,7.0,4,1,29,4,0,0,0,1
280,1,1,35.0,1,1,20,3,0,0,0,0
281,0,0,65.0,0,0,7,1,0,0,0,1
282,0,0,28.0,0,0,7,1,0,0,0,0
283,0,0,16.0,0,0,9,1,0,0,0,0
284,1,0,19.0,0,0,8,1,0,0,0,0
285,0,0,41.58045977011494,0,0,26,1,1,0,0,0
286,0,0,33.0,0,0,8,1,0,0,1,0
287,1,0,30.0,0,0,9,1,0,0,0,0
288,0,0,22.0,0,0,7,1,0,0,0,0
289,1,0,42.0,0,0,13,1,0,1,0,0
290,1,1,22.0,0,0,7,2,0,0,0,1
291,1,1,26.0,0,0,78,2,1,0,0,0
292,1,1,19.0,1,0,91,3,1,0,1,0
293,0,0,36.0,0,0,12,1,0,1,1,0
294,0,1,24.0,0,0,8,2,0,0,0,0
295,0,0,24.0,0,0,7,1,0,0,0,0
296,0,0,41.58045977011494,0,0,27,1,1,0,1,0
297,0,0,23.5,0,0,7,1,0,0,1,0
298,0,1,2.0,1,2,151,2,1,0,0,0
299,1,0,41.58045977011494,0,0,30,1,1,0,0,0
300,1,1,50.0,0,1,247,3,1,0,1,0
301,1,1,16.1231884057971,0,0,7,2,0,0,0,1
302,1,0,28.724890829694324,2,0,23,1,0,0,0,1
303,0,0,19.0,0,0,0,1,0,0,0,0
304,1,1,22.560606060606062,0,0,12,2,0,1,0,1
305,0,0,28.724890829694324,0,0,8,1,0,0,0,0
306,1,0,0.92,1,2,151,4,1,0,0,0
307,1,1,29.74468085106383,0,0,110,2,1,0,1,0
308,1,1,17.0,1,0,108,3,1,0,1,0
309,0,0,30.0,1,0,24,1,0,1,1,0
310,1,1,30.0,0,0,56,2,1,0,1,0
311,1,1,24.0,0,0,83,2,1,0,1,0
312,1,1,18.0,2,2,262,2,1,0,1,0
313,0,1,26.0,1,1,26,3,0,1,0,0
314,0,0,28.0,0,0,7,1,0,0,0,0
315,0,0,43.0,1,1,26,1,0,1,0,0
316,1,1,26.0,0,0,7,2,0,0,0,0
317,1,1,24.0,1,0,26,3,0,1,0,0
318,0,0,54.0,0,0,14,5,0,1,0,0
319,1,1,31.0,0,2,164,2,1,0,0,0
320,1,1,40.0,1,1,134,3,1,0,1,0
321,0,0,22.0,0,0,7,1,0,0,0,0
322,0,0,27.0,0,0,7,1,0,0,0,0
323,1,1,30.0,0,0,12,2,0,1,0,1
324,1,1,22.0,1,1,29,3,0,1,0,0
325,0,0,28.724890829694324,8,2,69,1,0,0,0,0
326,1,1,36.0,0,0,135,2,1,0,1,0
327,0,0,61.0,0,0,6,1,0,0,0,0
328,1,1,36.0,0,0,13,3,0,1,0,0
329,1,1,31.0,1,1,20,3,0,0,0,0
330,1,1,16.0,0,1,57,2,1,0,1,0
331,1,1,16.1231884057971,2,0,23,2,0,0,0,1
332,0,0,45.5,0,0,28,1,1,0,0,0
333,0,0,38.0,0,1,153,1,1,0,0,0
334,0,0,16.0,2,0,18,1,0,0,0,0
335,1,1,40.4,1,0,133,3,1,0,0,0
336,0,0,28.724890829694324,0,0,7,1,0,0,0,0
337,0,0,29.0,1,0,66,1,1,0,0,0
338,1,1,41.0,0,0,134,2,1,0,1,0
339,1,0,45.0,0,0,8,1,0,0,0,0
340,0,0,45.0,0,0,35,1,1,0,0,0
341,1,0,2.0,1,1,26,4,0,1,0,0
342,1,1,24.0,3,2,263,2,1,0,0,0
343,0,0,28.0,0,0,13,1,0,1,0,0
344,0,0,25.0,0,0,13,1,0,1,0,0
345,0,0,36.0,0,0,13,1,0,1,0,0
346,1,1,24.0,0,0,13,2,0,1,0,0
347,1,1,40.0,0,0,13,2,0,1,0,0
348,1,1,33.515151515151516,1,0,16,3,0,0,0,0
349,1,0,3.0,1,1,15,4,0,0,0,0
350,0,0,42.0,0,0,8,1,0,0,0,0
351,0,0,23.0,0,0,9,1,0,0,0,0
352,0,0,41.58045977011494,0,0,35,1,1,0,0,0
353,0,0,15.0,1,1,7,1,0,0,1,0
354,0,0,25.0,1,0,17,1,0,0,0,0
355,0,0,28.724890829694324,0,0,7,1,0,0,1,0
356,0,0,28.0,0,0,9,1,0,0,0,0
357,1,1,22.0,0,1,55,2,1,0,0,0
358,0,1,38.0,0,0,13,2,0,1,0,0
359,1,1,16.1231884057971,0,0,7,2,0,0,0,1
360,1,1,16.1231884057971,0,0,7,2,0,0,0,1
361,0,0,40.0,1,4,27,1,0,0,0,0
362,0,0,29.0,1,0,27,1,0,1,1,0
363,0,1,45.0,0,1,14,3,0,0,1,0
364,0,0,35.0,0,0,7,1,0,0,0,0
365,0,0,28.724890829694324,1,0,15,1,0,0,0,1
366,0,0,30.0,0,0,7,1,0,0,0,0
367,1,1,60.0,1,0,75,3,1,0,1,0
368,1,1,33.515151515151516,0,0,7,3,0,0,1,0
369,1,1,16.1231884057971,0,0,7,2,0,0,0,1
370,1,1,24.0,0,0,69,3,1,0,1,0
371,1,0,25.0,1,0,55,1,1,0,1,0
372,0,0,18.0,1,0,6,1,0,0,0,0
373,0,0,19.0,0,0,8,1,0,0,0,0
374,0,0,22.0,0,0,135,1,1,0,1,0
375,0,1,3.0,3,1,21,2,0,0,0,0
376,1,1,40.4,1,0,82,3,1,0,1,0
377,1,1,22.0,0,0,7,2,0,0,0,0
378,0,0,27.0,0,2,211,1,1,0,1,0
379,0,0,20.0,0,0,4,1,0,0,1,0
380,0,0,19.0,0,0,7,1,0,0,0,0
381,1,1,42.0,0,0,227,2,1,0,1,0
382,1,1,1.0,0,2,15,2,0,0,1,0
383,0,0,32.0,0,0,7,1,0,0,0,0
384,1,1,35.0,1,0,52,3,1,0,0,0
385,0,0,28.724890829694324,0,0,7,1,0,0,0,0
386,0,0,18.0,0,0,73,1,0,1,0,0
387,0,0,1.0,5,2,46,4,0,0,0,0
388,1,1,36.0,0,0,13,2,0,1,0,0
389,0,0,28.724890829694324,0,0,7,1,0,0,0,1
390,1,1,17.0,0,0,12,2,0,1,1,0
391,1,0,36.0,1,2,120,1,1,0,0,0
392,1,0,21.0,0,0,7,1,0,0,0,0
393,0,0,28.0,2,0,7,1,0,0,0,0
394,1,1,23.0,1,0,113,2,1,0,1,0
395,1,1,24.0,0,2,16,3,0,0,0,0
396,0,0,22.0,0,0,7,1,0,0,0,0
397,0,1,31.0,0,0,7,2,0,0,0,0
398,0,0,46.0,0,0,26,1,0,1,0,0
399,0,0,23.0,0,0,10,5,0,1,0,0
400,1,1,28.0,0,0,12,3,0,1,0,0
401,1,0,39.0,0,0,7,1,0,0,0,0
402,0,0,26.0,0,0,8,1,0,0,0,0
403,0,1,21.0,1,0,9,2,0,0,0,0
404,0,0,28.0,1,0,15,1,0,0,0,0
405,0,1,20.0,0,0,8,2,0,0,0,0
406,0,0,34.0,1,0,21,1,0,1,0,0
407,0,0,51.0,0,0,7,1,0,0,0,0
408,1,0,3.0,1,1,18,4,0,1,0,0
409,0,0,21.0,0,0,7,1,0,0,0,0
410,0,1,16.1231884057971,3,1,25,2,0,0,0,0
411,0,0,28.724890829694324,0,0,7,1,0,0,0,0
412,0,0,28.724890829694324,0,0,6,1,0,0,0,1
413,1,1,33.0,1,0,90,2,1,0,0,1
414,0,0,32.76829268292683,0,0,0,1,0,1,0,0
415,1,0,44.0,0,0,7,1,0,0,0,0
416,0,1,33.515151515151516,0,0,8,3,0,0,0,0
417,1,1,34.0,1,1,32,3,0,1,0,0
418,1,1,18.0,0,2,13,2,0,1,0,0
419,0,0,30.0,0,0,13,1,0,1,0,0
420,0,1,10.0,0,2,24,2,0,0,0,0
421,0,0,28.724890829694324,0,0,7,1,0,0,1,0
422,0,0,21.0,0,0,7,1,0,0,0,1
423,0,0,29.0,0,0,7,1,0,0,0,0
424,0,1,28.0,1,1,14,3,0,0,0,0
425,0,0,18.0,1,1,20,1,0,0,0,0
426,0,0,28.724890829694324,0,0,7,1,0,0,0,0
427,1,1,28.0,1,0,26,3,0,1,0,0
428,1,1,19.0,0,0,26,2,0,1,0,0
429,0,0,28.724890829694324,0,0,7,1,0,0,0,1
430,1,0,32.0,0,0,8,1,0,0,0,0
431,1,0,28.0,0,0,26,1,1,0,0,0
432,1,1,33.515151515151516,1,0,16,3,0,0,0,0
433,1,1,42.0,1,0,26,3,0,1,0,0
434,0,0,17.0,0,0,7,1,0,0,0,0
435,0,0,50.0,1,0,55,1,1,0,0,0
436,1,1,14.0,1,2,120,2,1,0,0,0
437,0,1,21.0,2,2,34,2,0,0,0,0
438,1,1,24.0,2,3,18,3,0,1,0,0
439,0,0,64.0,1,4,263,1,1,0,0,0
440,0,0,31.0,0,0,10,1,0,1,0,0
441,1,1,45.0,1,1,26,3,0,1,0,0
442,0,0,20.0,0,0,9,1,0,0,0,0
443,0,0,25.0,1,0,7,1,0,0,0,0
444,1,1,28.0,0,0,13,2,0,1,0,0
445,1,0,28.724890829694324,0,0,8,1,0,0,0,0
446,1,0,4.0,0,2,81,4,1,0,0,0
